"Translaton between Mod1 Outputs and PV names generates read1400coils.substitutions",,,,,,
"IOC Offset",".DESC field","IOC PV Name","Meaning of 1 State","Meaning of 0 State","Modicon Output #",Alias
1181,"xx","CoilBlank1182","One","Zero",1182,"MOD1:Coil1182:Read"
1182,"xx","CoilBlank1183","One","Zero",1183,"MOD1:Coil1183:Read"
1183,"xx","CoilBlank1184","One","Zero",1184,"MOD1:Coil1184:Read"
1184,"xx","CoilBlank1185","One","Zero",1185,"MOD1:Coil1185:Read"
1185,"xx","CoilBlank1186","One","Zero",1186,"MOD1:Coil1186:Read"
1186,"xx","CoilBlank1187","One","Zero",1187,"MOD1:Coil1187:Read"
1187,"xx","CoilBlank1188","One","Zero",1188,"MOD1:Coil1188:Read"
1188,"xx","CoilBlank1189","One","Zero",1189,"MOD1:Coil1189:Read"
1189,"xx","CoilBlank1190","One","Zero",1190,"MOD1:Coil1190:Read"
1190,"xx","CoilBlank1191","One","Zero",1191,"MOD1:Coil1191:Read"
1191,"xx","CoilBlank1192","One","Zero",1192,"MOD1:Coil1192:Read"
1192,"xx","CoilBlank1193","One","Zero",1193,"MOD1:Coil1193:Read"
1193,"xx","CoilBlank1194","One","Zero",1194,"MOD1:Coil1194:Read"
1194,"xx","CoilBlank1195","One","Zero",1195,"MOD1:Coil1195:Read"
1195,"xx","CoilBlank1196","One","Zero",1196,"MOD1:Coil1196:Read"
1196,"xx","CoilBlank1197","One","Zero",1197,"MOD1:Coil1197:Read"
1197,"xx","CoilBlank1198","One","Zero",1198,"MOD1:Coil1198:Read"
1198,"xx","CoilBlank1199","One","Zero",1199,"MOD1:Coil1199:Read"
1199,"xx","CoilBlank1200","One","Zero",1200,"MOD1:Coil1200:Read"
1200,"xx","CoilBlank1201","One","Zero",1201,"MOD1:Coil1201:Read"
1201,"xx","CoilBlank1202","One","Zero",1202,"MOD1:Coil1202:Read"
1202,"xx","CoilBlank1203","One","Zero",1203,"MOD1:Coil1203:Read"
1203,"xx","CoilBlank1204","One","Zero",1204,"MOD1:Coil1204:Read"
1204,"xx","CoilBlank1205","One","Zero",1205,"MOD1:Coil1205:Read"
1205,"xx","CoilBlank1206","One","Zero",1206,"MOD1:Coil1206:Read"
1206,"xx","CoilBlank1207","One","Zero",1207,"MOD1:Coil1207:Read"
1207,"xx","CoilBlank1208","One","Zero",1208,"MOD1:Coil1208:Read"
1208,"xx","CoilBlank1209","One","Zero",1209,"MOD1:Coil1209:Read"
1209,"xx","CoilBlank1210","One","Zero",1210,"MOD1:Coil1210:Read"
1210,"xx","CoilBlank1211","One","Zero",1211,"MOD1:Coil1211:Read"
1211,"xx","CoilBlank1212","One","Zero",1212,"MOD1:Coil1212:Read"
1212,"xx","CoilBlank1213","One","Zero",1213,"MOD1:Coil1213:Read"
1213,"xx","CoilBlank1214","One","Zero",1214,"MOD1:Coil1214:Read"
1214,"xx","CoilBlank1215","One","Zero",1215,"MOD1:Coil1215:Read"
1215,"xx","CoilBlank1216","One","Zero",1216,"MOD1:Coil1216:Read"
1216,"Iso Glass Open Info From Mod 2","CYC:IsoGlassOpenInfo:Status","Open","Not Open",1217,"MOD1:Coil1217:Read"
1217,"Iso Glass Closed Info From Mod 2","CYC:IsoGlassClosedInfo:Status","Closed","Not Closed",1218,"MOD1:Coil1218:Read"
1218,"Iso Glass Open Cmd From Mod 2","CYC:IsoGlassClosed:CMD","One","Zero",1219,"MOD1:Coil1219:Read"
1219,"Drawer A Treat Info From Mod 2","CYC:DrawerATreatInfo:Status","Treat","Not At Treat",1220,"MOD1:Coil1220:Read"
1220,"Drawer A X-Ray Info From Mod 2","CYC:DrawerAXRayInfo:Status","X-Ray","Not At X-Ray",1221,"MOD1:Coil1221:Read"
1221,"Drawer A Safe Info From Mod 2","CYC:DrawerASafeInfo:Status","Safe","Not At Safe",1222,"MOD1:Coil1222:Read"
1222,"Drawer A To Treat Info From Mod 2","CYC:DrawerAToTreatInfo:Status","To Treat","Not To Treat",1223,"MOD1:Coil1223:Read"
1223,"Drawer A To X-Ray Info From Mod 2","CYC:DrawerAToXRayInfo:Status","To X-Ray","Not To X-Ray",1224,"MOD1:Coil1224:Read"
1224,"xx","CoilBlank1225","One","Zero",1225,"MOD1:Coil1225:Read"
1225,"Mobile Pedestal A Off from Mod 2","CYC:MobilePedAOff:Status","Off","Not Off",1226,"MOD1:Coil1226:Read"
1226,"No Motion Stop A From Mod 2","CYC:NoMotionStopA:Status","OK","Not OK",1227,"MOD1:Coil1227:Read"
1227,"Port Film Panel Disp From Mod 2","CYC:PortFilmPanelDisp:Status","Disabled","Not Disabled",1228,"MOD1:Coil1228:Read"
1228,"Collision Detector A OK From Mod 2","CYC:CollisionDetAOK:Status","OK","Not OK",1229,"MOD1:Coil1229:Read"
1229,"Iso Lateral Disabled From Mod 2","CYC:Iso:LateralDisabled:Status","Disabled","Not Disabled",1230,"MOD1:Coil1230:Read"
1230,"Iso Longit Disabled From Mod 2","CYC:Iso:LongitDisabled:Status","Disabled","Not Disabled",1231,"MOD1:Coil1231:Read"
1231,"Iso Wedge Rot Disabled From Mod 2","CYC:Iso:WedgeRotDisabled:Status","Disabled","Not Disabled",1232,"MOD1:Coil1232:Read"
1232,"Iso Wedge Sel Disabled From Mod 2","CYC:Iso:WedgeSelDisabled:Status","Disabled","Not Disabled",1233,"MOD1:Coil1233:Read"
1233,"Iso Ffilter Disabled From Mod 2","CYC:Iso:FFilterDisabled:Status","Disabled","Not Disabled",1234,"MOD1:Coil1234:Read"
1234,"Iso Collim Rot Disabled From Mod 2","CYC:Iso:CollimRot:Disabled:Status","Disabled","Not Disabled",1235,"MOD1:Coil1235:Read"
1235,"Iso Spare1 Disabled From Mod 2","CYC:Iso:Spare1Disabled:Status","Disabled","Not Disabled",1236,"MOD1:Coil1236:Read"
1236,"Iso Spare2 Disabled From Mod 2","CYC:Iso:Spare2Disabled:Status","Disabled","Not Disabled",1237,"MOD1:Coil1237:Read"
1237,"Iso Spare3 Disabled From Mod 2","CYC:Iso:Spare3Disabled:Status","Disabled","Not Disabled",1238,"MOD1:Coil1238:Read"
1238,"Iso Gantry Rot Disabled From Mod 2","CYC:Iso:GantryRotDisabled:Status","Disabled","Not Disabled",1239,"MOD1:Coil1239:Read"
1239,"Iso PSA Vert Disabled From Mod 2","CYC:Iso:PSAVertDisabled:Status","Disabled","Not Disabled",1240,"MOD1:Coil1240:Read"
1240,"Iso Turntable Disabled From Mod 2","CYC:Iso:TurntableDisabled:Status","Disabled","Not Disabled",1241,"MOD1:Coil1241:Read"
1241,"Iso Leaves Disabled From Mod 2","CYC:Iso:LeavesDisabled:Status","Disabled","Not Disabled",1242,"MOD1:Coil1242:Read"
1242,"Iso No Motion Inconsistent From Mod 2","CYC:Iso:NoMotionIncon:Status","No Inconsistency","Inconsistency",1243,"MOD1:Coil1243:Read"
1243,"Iso Ground Fault Detector OK From Mod 2","CYC:Iso:GrdFltDetOK:Status","OK","Not OK",1244,"MOD1:Coil1244:Read"
1244,"Fix Glass Open Info From Mod 2","CYC:FixGlassOpenInfo:Status","Open","Not Open",1245,"MOD1:Coil1245:Read"
1245,"Fix Glass Closed Info From Mod 2","CYC:FixGlassClosed:Status","Closed","Not Closed",1246,"MOD1:Coil1246:Read"
1246,"Fix Glass Open Cmd From Mod 2","CYC:FixGlassOpen:CMD","Open","Not Open",1247,"MOD1:Coil1247:Read"
1247,"Drawer B at Treat Info From Mod 2","CYC:DrawerBAtTreatInfo:Status","At Treat","Not at Treat",1248,"MOD1:Coil1248:Read"
1248,"Drawer B at X-Ray Info From Mod 2","CYC:DrawerBAtXRayInfo:Status","At X-Ray","Not st X-Ray",1249,"MOD1:Coil1249:Read"
1249,"Drawer B at Safe Info From Mod 2","CYC:DrawerBAtSafeInfo:Status","At Safe","Not At Safe",1250,"MOD1:Coil1250:Read"
1250,"Drawer B to Treat CMD From Mod 2","CYC:DrawerBTreat:CMD","Treat","Not Treat",1251,"MOD1:Coil1251:Read"
1251,"Drawer B to X-Ray CMD From Mod 2","CYC:DrawerBXRay:CMD","X-Ray","Not X-Ray",1252,"MOD1:Coil1252:Read"
1252,"xx","CoilBlank1253","One","Zero",1253,"MOD1:Coil1253:Read"
1253,"xx","CoilBlank1254","One","Zero",1254,"MOD1:Coil1254:Read"
1254,"xx","CoilBlank1255","One","Zero",1255,"MOD1:Coil1255:Read"
1255,"xx","CoilBlank1256","One","Zero",1256,"MOD1:Coil1256:Read"
1256,"xx","CoilBlank1257","One","Zero",1257,"MOD1:Coil1257:Read"
1257,"xx","CoilBlank1258","One","Zero",1258,"MOD1:Coil1258:Read"
1258,"xx","CoilBlank1259","One","Zero",1259,"MOD1:Coil1259:Read"
1259,"xx","CoilBlank1260","One","Zero",1260,"MOD1:Coil1260:Read"
1260,"xx","CoilBlank1261","One","Zero",1261,"MOD1:Coil1261:Read"
1261,"xx","CoilBlank1262","One","Zero",1262,"MOD1:Coil1262:Read"
1262,"xx","CoilBlank1263","One","Zero",1263,"MOD1:Coil1263:Read"
1263,"xx","CoilBlank1264","One","Zero",1264,"MOD1:Coil1264:Read"
1264,"xx","CoilBlank1265","One","Zero",1265,"MOD1:Coil1265:Read"
1265,"xx","CoilBlank1266","One","Zero",1266,"MOD1:Coil1266:Read"
1266,"xx","CoilBlank1267","One","Zero",1267,"MOD1:Coil1267:Read"
1267,"xx","CoilBlank1268","One","Zero",1268,"MOD1:Coil1268:Read"
1268,"xx","CoilBlank1269","One","Zero",1269,"MOD1:Coil1269:Read"
1269,"xx","CoilBlank1270","One","Zero",1270,"MOD1:Coil1270:Read"
1270,"xx","CoilBlank1271","One","Zero",1271,"MOD1:Coil1271:Read"
1271,"xx","CoilBlank1272","One","Zero",1272,"MOD1:Coil1272:Read"
1272,"xx","CoilBlank1273","One","Zero",1273,"MOD1:Coil1273:Read"
1273,"xx","CoilBlank1274","One","Zero",1274,"MOD1:Coil1274:Read"
1274,"xx","CoilBlank1275","One","Zero",1275,"MOD1:Coil1275:Read"
1275,"xx","CoilBlank1276","One","Zero",1276,"MOD1:Coil1276:Read"
1276,"xx","CoilBlank1277","One","Zero",1277,"MOD1:Coil1277:Read"
1277,"xx","CoilBlank1278","One","Zero",1278,"MOD1:Coil1278:Read"
1278,"xx","CoilBlank1279","One","Zero",1279,"MOD1:Coil1279:Read"
1279,"xx","CoilBlank1280","One","Zero",1280,"MOD1:Coil1280:Read"
1280,"xx","CoilBlank1281","One","Zero",1281,"MOD1:Coil1281:Read"
1281,"xx","CoilBlank1282","One","Zero",1282,"MOD1:Coil1282:Read"
1282,"xx","CoilBlank1283","One","Zero",1283,"MOD1:Coil1283:Read"
1283,"xx","CoilBlank1284","One","Zero",1284,"MOD1:Coil1284:Read"
1284,"xx","CoilBlank1285","One","Zero",1285,"MOD1:Coil1285:Read"
1285,"xx","CoilBlank1286","One","Zero",1286,"MOD1:Coil1286:Read"
1286,"xx","CoilBlank1287","One","Zero",1287,"MOD1:Coil1287:Read"
1287,"xx","CoilBlank1288","One","Zero",1288,"MOD1:Coil1288:Read"
1288,"xx","CoilBlank1289","One","Zero",1289,"MOD1:Coil1289:Read"
1289,"xx","CoilBlank1290","One","Zero",1290,"MOD1:Coil1290:Read"
1290,"xx","CoilBlank1291","One","Zero",1291,"MOD1:Coil1291:Read"
1291,"xx","CoilBlank1292","One","Zero",1292,"MOD1:Coil1292:Read"
1292,"xx","CoilBlank1293","One","Zero",1293,"MOD1:Coil1293:Read"
1293,"xx","CoilBlank1294","One","Zero",1294,"MOD1:Coil1294:Read"
1294,"xx","CoilBlank1295","One","Zero",1295,"MOD1:Coil1295:Read"
1295,"xx","CoilBlank1296","One","Zero",1296,"MOD1:Coil1296:Read"
1296,"xx","CoilBlank1297","One","Zero",1297,"MOD1:Coil1297:Read"
1297,"xx","CoilBlank1298","One","Zero",1298,"MOD1:Coil1298:Read"
1298,"xx","CoilBlank1299","One","Zero",1299,"MOD1:Coil1299:Read"
1299,"xx","CoilBlank1300","One","Zero",1300,"MOD1:Coil1300:Read"
1300,"xx","CoilBlank1301","One","Zero",1301,"MOD1:Coil1301:Read"
1301,"xx","CoilBlank1302","One","Zero",1302,"MOD1:Coil1302:Read"
1302,"xx","CoilBlank1303","One","Zero",1303,"MOD1:Coil1303:Read"
1303,"xx","CoilBlank1304","One","Zero",1304,"MOD1:Coil1304:Read"
1304,"xx","CoilBlank1305","One","Zero",1305,"MOD1:Coil1305:Read"
1305,"xx","CoilBlank1306","One","Zero",1306,"MOD1:Coil1306:Read"
1306,"xx","CoilBlank1307","One","Zero",1307,"MOD1:Coil1307:Read"
1307,"xx","CoilBlank1308","One","Zero",1308,"MOD1:Coil1308:Read"
1308,"xx","CoilBlank1309","One","Zero",1309,"MOD1:Coil1309:Read"
1309,"xx","CoilBlank1310","One","Zero",1310,"MOD1:Coil1310:Read"
1310,"xx","CoilBlank1311","One","Zero",1311,"MOD1:Coil1311:Read"
1311,"xx","CoilBlank1312","One","Zero",1312,"MOD1:Coil1312:Read"
1312,"xx","CoilBlank1313","One","Zero",1313,"MOD1:Coil1313:Read"
1313,"xx","CoilBlank1314","One","Zero",1314,"MOD1:Coil1314:Read"
1314,"xx","CoilBlank1315","One","Zero",1315,"MOD1:Coil1315:Read"
1315,"xx","CoilBlank1316","One","Zero",1316,"MOD1:Coil1316:Read"
1316,"xx","CoilBlank1317","One","Zero",1317,"MOD1:Coil1317:Read"
1317,"xx","CoilBlank1318","One","Zero",1318,"MOD1:Coil1318:Read"
1318,"xx","CoilBlank1319","One","Zero",1319,"MOD1:Coil1319:Read"
1319,"xx","CoilBlank1320","One","Zero",1320,"MOD1:Coil1320:Read"
1320,"xx","CoilBlank1321","One","Zero",1321,"MOD1:Coil1321:Read"
1321,"xx","CoilBlank1322","One","Zero",1322,"MOD1:Coil1322:Read"
1322,"xx","CoilBlank1323","One","Zero",1323,"MOD1:Coil1323:Read"
1323,"xx","CoilBlank1324","One","Zero",1324,"MOD1:Coil1324:Read"
1324,"xx","CoilBlank1325","One","Zero",1325,"MOD1:Coil1325:Read"
1325,"xx","CoilBlank1326","One","Zero",1326,"MOD1:Coil1326:Read"
1326,"xx","CoilBlank1327","One","Zero",1327,"MOD1:Coil1327:Read"
1327,"xx","CoilBlank1328","One","Zero",1328,"MOD1:Coil1328:Read"
1328,"Tank Pressure Selected Lamp","VAC:TankPressSelected:Lamp","On","Not On",1329,"MOD1:Coil1329:Read"
1329,"Backing Pressure Selected Lamp","VAC:BackPressSelected:Lamp","On","Not On",1330,"MOD1:Coil1330:Read"
1330,"Pump Group Off Lamp","VAC:BackPressSelected:Lamp","On","Not On",1331,"MOD1:Coil1331:Read"
1331,"Pump Group in Standby Lamp","VAC:PGStandby:Lamp","On","Not On",1332,"MOD1:Coil1332:Read"
1332,"Pump Group In Pump Lamp","VAC:PGPump:Lamp","On","Not On",1333,"MOD1:Coil1333:Read"
1333,"Pump Group 1 Selected Lamp","VAC:PG1Selected:Lamp","On","Not On",1334,"MOD1:Coil1334:Read"
1334,"Pump Group A2 Selected Lamp","VAC:PGA2Selected:Lamp","On","Not On",1335,"MOD1:Coil1335:Read"
1335,"Pump Group 2 Selected Lamp","VAC:PG2Selected:Lamp","On","Not On",1336,"MOD1:Coil1336:Read"
1336,"Pump Group B1 Selected Lamp","VAC:PGB1Selected:Lamp","On","Not On",1337,"MOD1:Coil1337:Read"
1337,"Pump Group SWM Selected Lamp","VAC:PGSWMSelected:Lamp","On","Not On",1338,"MOD1:Coil1338:Read"
1338,"Pump Group B2 Selected Lamp","VAC:PGB2Selected:Lamp","On","Not On",1339,"MOD1:Coil1339:Read"
1339,"Pump Group A1 Selected Lamp","VAC:PGA1Selected:Lamp","On","Not On",1340,"MOD1:Coil1340:Read"
1340,"Pump Group C1 Selected Lamp","VAC:PGC1Selected:Lamp","On ","Not On",1341,"MOD1:Coil1341:Read"
1341,"Pump Group Z1 Selected Lamp","VAC:PGZ1Selected:Lamp","On ","Not On",1342,"MOD1:Coil1342:Read"
1342,"xx","CoilBlank1343","One","Zero",1343,"MOD1:Coil1343:Read"
1343,"xx","CoilBlank1344","One","Zero",1344,"MOD1:Coil1344:Read"
1344,"Beam Exit Valve Open Lamp","VAC:BeamExitValveOpen:Lamp","On","Not On",1345,"MOD1:Coil1345:Read"
1345,"Beam Exit Valve Closed Lamp","VAC:BeamExitValveClosed:Lamp","On","Not On",1346,"MOD1:Coil1346:Read"
1346,"Beam Line Valve A1 Open Lamp","VAC:BeamLineValveA1Open:Lamp","On","Not On",1347,"MOD1:Coil1347:Read"
1347,"Beam Line Valve A1 Closed Lamp","VAC:BeamLineValveA1Closed:Lamp","On","Not On",1348,"MOD1:Coil1348:Read"
1348,"Beam Line Valve A2 Open Lamp","VAC:BeamLineValveA2Open:Lamp","On","Not On",1349,"MOD1:Coil1349:Read"
1349,"Beam Line Valve A2 Closed Lamp","VAC:BeamLineValveA2Closed:Lamp","On","Not On",1350,"MOD1:Coil1350:Read"
1350,"Beam Line Valve B1 Open Lamp","VAC:BeamLineValveB1Open:Lamp","On","Not On",1351,"MOD1:Coil1351:Read"
1351,"Beam Line Valve B1 Closed Lamp","VAC:BeamLineValveB1Closed:Lamp","On","Not On",1352,"MOD1:Coil1352:Read"
1352,"Beam Line Valve B2 Open Lamp","VAC:BeamLineValveB2Open:Lamp","On","Not On",1353,"MOD1:Coil1353:Read"
1353,"Beam Line Valve B2 Closed Lamp","VAC:BeamLineValveB2Closed:Lamp","On","Not On",1354,"MOD1:Coil1354:Read"
1354,"Beam Line Valve C1 Open Lamp","VAC:BeamLineValveC1Open:Lamp","On","Not On",1355,"MOD1:Coil1355:Read"
1355,"Beam Line Valve C1 Closed Lamp","VAC:BeamLineValveC1Closed:Lamp","On","Not On",1356,"MOD1:Coil1356:Read"
1356,"Beam Line Valve C2 Open Lamp","VAC:BeamLineValveC2Open:Lamp","On","Not On",1357,"MOD1:Coil1357:Read"
1357,"Beam Line Valve C2 Closed Lamp","VAC:BeamLineValveC2Closed:Lamp","On","Not On",1358,"MOD1:Coil1358:Read"
1358,"Beam Line Valve Z1 Open Lamp","VAC:BeamLineValveZ1Open:Lamp","On","Not On",1359,"MOD1:Coil1359:Read"
1359,"Beam Line Valve Z1 Closed Lamp","VAC:BeamLineValveZ1Closed:Lamp","On","Not On",1360,"MOD1:Coil1360:Read"
1360,"Beam Line Valve Z2 Open Lamp","VAC:BeamLineValveZ2Open:Lamp","On","Not On",1361,"MOD1:Coil1361:Read"
1361,"Beam Line Valve Z2 Closed Lamp","VAC:BeamLineValveZ2Closed:Lamp","On","Not On",1362,"MOD1:Coil1362:Read"
1362,"Cyc Vent Valve Open Lamp","VAC:CycVentValveOpen:Lamp","On","Not On",1363,"MOD1:Coil1363:Read"
1363,"Cyc Vent Valve Closed Lamp","VAC:CycVentValveClosed:Lamp","On","Not On",1364,"MOD1:Coil1364:Read"
1364,"Mech Pump On Lamp","VAC:MechPumpOn:Lamp","On","Not On",1365,"MOD1:Coil1365:Read"
1365,"Backing Valve Open Lamp","VAC:BackingValveOpen:Lamp","On","Not On",1366,"MOD1:Coil1366:Read"
1366,"High Vacuum Pump On Lamp","VAC:HighVacPumpOn:Lamp","On","Not On",1367,"MOD1:Coil1367:Read"
1367,"High Vacuum Valve Open Lamp","VAC:HighVacValveOpen:Lamp","On","Not On",1368,"MOD1:Coil1368:Read"
1368,"High Vacuum Pump Ready Lamp","VAC:HighVacPumpReady:Lamp","On","Not On",1369,"MOD1:Coil1369:Read"
1369,"Roughing Valve Open Lamp","VAC:RoughingValveOpen:Lamp","On","Not On",1370,"MOD1:Coil1370:Read"
1370,"Diff Pump Flow OK Lamp","VAC:DiffPumpFlowOK:Lamp","On","Not On",1371,"MOD1:Coil1371:Read"
1371,"xx","CoilBlank1372","One","Zero",1372,"MOD1:Coil1372:Read"
1372,"Pump Group Error Lamp","VAC:PumpGroupError:Lamp","On","Not On",1373,"MOD1:Coil1373:Read"
1373,"Pump Group Time Out Lamp","VAC:PumpGroupTimeOut:Lamp","On","Not On",1374,"MOD1:Coil1374:Read"
1374,"Mech Pump Overload Lamp","VAC:MechPumpOverload:Lamp","On","Not On",1375,"MOD1:Coil1375:Read"
1375,"Roughing Valve Closed Lamp","VAC:RoughingValveClosed:Lamp","On","Not On",1376,"MOD1:Coil1376:Read"
1376,"Turbo Pump Fault Lamp","VAC:TurboPumpFault:Lamp","On","Not On",1377,"MOD1:Coil1377:Read"
1377,"Backing Valve Closed Lamp","VAC:BackingValveClosed:Lamp","On","Not On",1378,"MOD1:Coil1378:Read"
1378,"Turbo Pump Start Mode Lamp","VAC:TurboPumpStartMode:Lamp","On","Not On",1379,"MOD1:Coil1379:Read"
1379,"High Vacuum Valve Closed Lamp","VAC:HighVacValveClosed:Lamp","On","Not On",1380,"MOD1:Coil1380:Read"
1380,"Penning Gauge Selected Lamp","VAC:PenningGaugeSelected:Lamp","On","Not On",1381,"MOD1:Coil1381:Read"
1381,"Pirani Gauge Selected Lamp","VAC:PiraniGaugeSelected:Lamp","On","Not On",1382,"MOD1:Coil1382:Read"
1382,"High Vacuum OK Lamp","VAC:HighVacOK:Lamp","On","Not On",1383,"MOD1:Coil1383:Read"
1383,"Fore Vacuum OK LED","VAC:ForeVacOK:LED","On","Not On",1384,"MOD1:Coil1384:Read"
1384,"Service Pump On Lamps","VAC:ServicePumpOn:Lamp","On","Not On",1385,"MOD1:Coil1385:Read"
1385,"Service Pump Off Lamps","VAC:ServicePumpOff:Lamp","One","Zero",1386,"MOD1:Coil1386:Read"
1386,"xx","CoilBlank1387","One","Zero",1387,"MOD1:Coil1387:Read"
1387,"xx","CoilBlank1388","One","Zero",1388,"MOD1:Coil1388:Read"
1388,"xx","CoilBlank1389","One","Zero",1389,"MOD1:Coil1389:Read"
1389,"xx","CoilBlank1390","One","Zero",1390,"MOD1:Coil1390:Read"
1390,"xx","CoilBlank1391","One","Zero",1391,"MOD1:Coil1391:Read"
1391,"xx","CoilBlank1392","One","Zero",1392,"MOD1:Coil1392:Read"
1392,"Magnet On Warning Light Vault","SAFETY:MagOnWarningLight:Vault","On","Not On",1393,"MOD1:Coil1393:Read"
1393,"RF ON Warning Light Vault","SAFETY:RFWarningLight:Vault","On","Not On",1394,"MOD1:Coil1394:Read"
1394,"Beam Start Warning Bell Vault","SAFETY:BeamStartWarningBell:Vault","On","Not On",1395,"MOD1:Coil1395:Read"
1395,"Beam On Flasher Vault","SAFETY:BeamOnFlasher:Vault","On","Not On",1396,"MOD1:Coil1396:Read"
1396,"Beam On Flasher Iso Room","SAFETY:BeamOnFlasher:Iso","On","Not On",1397,"MOD1:Coil1397:Read"
1397,"Beam Exit Valve Closed Lamp","SAFETY:BeamExitValveClosed:Lamp","On","Not On",1398,"MOD1:Coil1398:Read"
1398,"xx","CoilBlank1399","One","Zero",1399,"MOD1:Coil1399:Read"
1399,"Yoke Lift Interlock OK","CYC:YokeLiftIntlkOK:Status","OK","Not OK",1400,"MOD1:Coil1400:Read"
